2024-08-18 12:43:48.640 +05:30 [Information] | Message : Application Started. | Exception :  
2024-08-18 12:43:49.012 +05:30 [Information] | Message : Initializing UI Database | Exception :  
2024-08-18 12:43:50.804 +05:30 [Information] | Message : Saving healthchecks configuration to database | Exception :  
2024-08-18 12:43:51.585 +05:30 [Information] | Message : Start processing HTTP request "GET" http://localhost:55006/healthz | Exception :  
2024-08-18 12:43:51.589 +05:30 [Information] | Message : Sending HTTP request "GET" http://localhost:55006/healthz | Exception :  
2024-08-18 12:43:53.206 +05:30 [Information] | Message : Received HTTP response after 1612.8224ms - OK | Exception :  
2024-08-18 12:43:53.207 +05:30 [Information] | Message : End processing HTTP request after 1650.3084ms - OK | Exception :  
2024-08-18 12:44:09.436 +05:30 [Information] | Message : Start processing HTTP request "GET" http://localhost:55006/healthz | Exception :  
2024-08-18 12:44:09.437 +05:30 [Information] | Message : Sending HTTP request "GET" http://localhost:55006/healthz | Exception :  
2024-08-18 12:44:09.616 +05:30 [Information] | Message : Received HTTP response after 179.1889ms - OK | Exception :  
2024-08-18 12:44:09.616 +05:30 [Information] | Message : End processing HTTP request after 180.1563ms - OK | Exception :  
2024-08-18 12:44:24.675 +05:30 [Information] | Message : Start processing HTTP request "GET" http://localhost:55006/healthz | Exception :  
2024-08-18 12:44:24.675 +05:30 [Information] | Message : Sending HTTP request "GET" http://localhost:55006/healthz | Exception :  
2024-08-18 12:44:24.808 +05:30 [Information] | Message : Received HTTP response after 132.9869ms - OK | Exception :  
2024-08-18 12:44:24.808 +05:30 [Information] | Message : End processing HTTP request after 133.5573ms - OK | Exception :  
2024-08-18 12:44:39.821 +05:30 [Information] | Message : Start processing HTTP request "GET" http://localhost:55006/healthz | Exception :  
2024-08-18 12:44:39.822 +05:30 [Information] | Message : Sending HTTP request "GET" http://localhost:55006/healthz | Exception :  
2024-08-18 12:44:39.969 +05:30 [Information] | Message : Received HTTP response after 147.3002ms - OK | Exception :  
2024-08-18 12:44:39.970 +05:30 [Information] | Message : End processing HTTP request after 148.7977ms - OK | Exception :  
2024-08-18 12:44:55.008 +05:30 [Information] | Message : Start processing HTTP request "GET" http://localhost:55006/healthz | Exception :  
2024-08-18 12:44:55.009 +05:30 [Information] | Message : Sending HTTP request "GET" http://localhost:55006/healthz | Exception :  
